DateTime,AddedIPs,RemovedIPs
1594254515,15,40
1594256554,10,28
1594258598,18,15
1594260496,13,13
1594262461,13,8
1594264608,19,7
1594266739,22,11
1594268658,12,9
1594270630,16,8
1594272512,12,16
1594274496,17,10
1594276418,17,6
1594278300,19,10
1594280173,19,7
1594282148,18,13
1594284016,20,6
1594285965,18,12
1594287881,24,10
1594289772,15,13
1594291711,21,11
1594293928,15,13
1594295799,11,22
1594297695,14,3
1594300571,18,14
1594302533,18,19
1594304434,11,11
1594306335,9,25
1594308258,9,12
1594310170,4,20
1594312119,20,15
1594314599,17,28
1594316439,9,25
1594318597,9,20
1594320495,20,10
1594322434,20,9
1594324341,13,8
1594326286,19,9
1594328194,12,14
1594330092,13,12
1594333209,11,28
1594335160,11,56
1594337082,14,23
1594338990,15,7
1594340916,14,12
1594342871,15,9
1594344760,23,13
1594346696,14,13
1594348594,12,7
1594350501,12,14
1594352429,7,20
1594354366,8,18
1594356263,9,8
1594358185,7,10
1594360121,6,16
1594362032,4,13
1594363932,3,16
1594365885,10,13
1594367778,14,17
1594369695,21,17
1594371729,14,23
1594373543,13,13
1594375550,10,23
1594377382,3,18
1594379542,11,18
1594381477,9,14
1594383406,15,13
1594385292,13,15
1594387243,14,12
1594389144,15,19
1594391054,12,11
1594393061,15,9
1594394913,9,15
1594398037,29,20
1594399977,10,19
1594401878,14,11
1594403832,5,12
1594405687,5,13
1594407673,12,24
1594409567,4,17
1594411484,3,19
1594413371,7,17
1594415319,5,12
1594417210,5,13
1594419130,3,9
1594421055,7,4
1594422996,4,13
1594424889,8,13
1594426839,6,17
1594428738,8,18
1594430654,9,25
1594432619,9,25
1594434738,12,29
1594436677,9,21
1594438645,9,6
1594440499,13,8
1594442416,19,11
1594444365,13,9
1594446256,21,9
1594448208,24,6
1594450131,20,5
1594452020,22,12
1594453947,13,5
1594455885,16,18
1594457797,16,25
1594459689,12,15
1594461721,24,8
1594463533,16,2
1594465469,15,9
1594467399,15,14
1594469309,16,16
1594471212,15,14
1594473167,9,12
1594475055,20,16
1594476971,15,17
1594478926,11,15
1594480810,8,7
1594482745,8,18
1594484682,28,17
1594486571,8,9
1594488488,4,11
1594490526,10,6
1594492345,17,4
1594494289,14,11
1594496204,9,5
1594498097,15,6
1594500043,12,5
1594501968,8,7
1594503855,13,5
1594505772,12,4
1594507719,9,11
1594509617,12,7
1594511530,13,8
1594513484,10,5
1594515371,13,6
1594517287,5,12
1594520204,20,15
1594522120,9,13
1594524013,3,5
1594525938,5,6
1594527884,14,16
1594529792,9,10
1594531718,9,15
1594534616,4,28
1594536493,32,18
1594538469,34,18
1594540335,5,15
1594542261,33,13
1594544216,9,15
1594546096,70,13
1594548202,17,28
1594550182,29,15
1594552121,28,16
1594554011,12,9
1594555931,17,16
1594557895,16,16
1594559773,7,11
1594561699,12,20
1594563662,7,12
1594565551,16,10
1594567491,16,8
1594569381,15,8
1594571333,14,27
1594573510,16,8
1594575409,12,4
1594577296,5,9
1594579221,5,18
1594581163,6,15
1594583066,8,9
1594584974,12,14
1594586921,8,13
1594588830,6,10
1594590767,8,10
1594592694,9,10
1594594572,68,11
1594596862,8,19
1594598685,12,9
1594600575,12,18
1594602606,10,6
1594604416,8,11
1594606336,12,10
1594608315,15,10
1594610178,12,3
1594612094,5,8
1594614044,13,17
1594615938,12,10
1594617877,19,9
1594619816,19,2
1594621699,15,2
1594623869,6,35
1594625807,11,34
1594627713,10,4
1594629616,15,32
1594631562,18,13
1594633456,9,67
1594635376,12,17
1594637347,13,42
1594639211,8,15
1594641136,7,14
1594643082,7,19
1594645000,14,13
1594646890,17,13
1594649020,22,11
1594651044,17,12
1594652908,11,13
1594654844,17,14
1594656738,25,12
1594658656,11,9
1594660581,18,14
1594662491,20,10
1594664437,14,6
1594666332,7,7
1594668254,18,6
1594671160,19,14
1594673082,10,10
1594675001,9,10
1594676901,35,9
1594678817,2,7
1594680765,7,63
1594682681,26,26
1594684576,17,10
1594686516,4,10
1594688510,5,14
1594690355,7,8
1594692298,4,14
1594694199,13,13
1594696732,29,16
1594698764,7,8
1594700672,25,11
1594702599,20,15
1594704493,18,22
1594706581,19,16
1594708499,21,12
1594710525,17,10
1594712587,8,11
1594714599,13,20
1594716528,11,11
1594718416,20,15
1594720336,49,8
1594722587,20,18
1594725524,33,19
1594727586,16,7
1594729493,21,5
1594731485,13,12
1594733290,19,12
1594736178,39,28
1594738150,19,9
1594740012,16,10
1594741932,17,19
1594743881,32,17
1594745774,15,14
1594747690,25,12
1594749716,35,19
1594751533,21,9
1594753430,22,12
1594755402,23,18
1594757291,15,14
1594759216,12,8
1594761170,15,9
1594763053,8,12
1594765005,14,4
1594766913,27,4
1594769037,16,31
1594771066,14,22
1594772897,18,5
1594775063,11,7
1594777002,6,5
1594778936,10,5
1594780816,8,11
1594782760,9,30
1594784677,13,5
1594786627,12,9
1594788527,11,33
1594790412,10,16
1594792358,11,20
1594794531,16,17
1594796587,20,15
1594798571,6,33
1594800388,25,7
1594802207,18,17
1594804099,8,12
1594806011,16,40
1594807973,14,20
1594809857,7,17
1594811774,14,25
1594813731,14,12
1594815615,13,22
1594817531,28,16
1594819552,21,18
1594821370,17,10
1594823288,19,26
1594825287,24,15
1594827170,11,21
1594829099,16,26
1594831019,21,18
1594832899,18,13
1594834839,28,27
1594836767,24,38
1594838652,13,20
1594840585,16,30
1594842527,19,8
1594844429,17,12
1594846339,19,14
1594848304,16,12
1594850183,15,8
1594852332,9,19
1594854291,103,15
1594856203,9,15
1594858160,20,13
1594860052,12,24
1594861942,9,8
1594863857,11,5
1594865781,10,6
1594867697,16,14
1594869653,13,8
1594871538,17,13
1594873458,14,12
1594875466,15,12
1594877292,11,12
1594879446,12,10
1594881371,9,18
1594883388,14,15
1594885217,13,9
1594887164,4,32
1594889055,11,13
1594890973,24,14
1594892918,18,17
1594894833,11,9
1594896735,10,10
1594898699,16,17
1594900576,33,11
1594902517,13,17
1594904529,15,21
1594906359,20,28
1594908686,36,17
1594910750,15,26
1594912958,8,15
1594914898,12,11
1594916897,6,22
1594919790,16,24
1594921696,12,30
1594923653,6,22
1594925536,12,11
1594927491,10,18
1594929461,18,22
1594931388,20,21
1594935398,28,30
1594937300,11,15
1594939214,11,11
1594941045,8,105
1594943082,7,12
1594944973,9,20
1594946908,12,15
1594948840,7,7
1594950731,8,12
1594952653,9,14
1594954595,9,23
1594956490,4,8
1594958479,14,20
1594960358,5,13
1594962254,14,17
1594964173,6,16
1594966135,10,15
1594968015,26,6
1594969963,9,15
1594971884,16,13
1594973780,12,7
1594975697,12,14
1594977789,20,22
1594979797,8,19
1594981890,15,8
1594983730,13,14
1594985552,12,15
1594987455,16,35
1594989403,12,10
1594991293,9,18
1594993215,17,18
1594995162,25,31
1594997053,7,17
1594999248,7,8
1595001137,19,15
1595003121,19,8
1595004972,14,5
1595006890,16,16
1595008987,14,16
1595011005,17,12
1595012895,21,11
1595014839,20,14
1595016734,12,19
1595018666,13,13
1595022730,21,27
1595024685,13,15
1595026571,26,5
1595028729,11,10
1595030652,11,8
1595032601,8,11
1595034769,12,11
1595036653,16,9
1595038575,6,9
1595040509,13,9
1595042472,6,7
1595044334,10,12
1595046266,11,9
1595048198,17,11
1595050097,11,11
1595052137,8,11
1595054197,16,24
1595056092,10,15
1595058044,16,12
1595059961,11,13
1595061850,26,9
1595063767,14,21
1595065714,18,7
1595067607,15,13
1595069533,16,12
1595071477,15,15
1595073366,23,15
1595075538,20,13
1595077461,14,11
1595079402,21,22
1595081298,12,25
1595083215,9,12
1595085162,20,7
1595087079,58,14
1595088969,13,18
1595090925,21,17
1595092834,13,13
1595094739,32,17
1595096695,18,13
1595098622,13,10
1595100520,12,16
1595103400,25,22
1595105295,22,18
1595107262,20,8
1595109160,28,11
1595111058,18,12
1595112972,16,23
1595114918,22,8
1595117806,35,13
1595119695,18,6
1595121619,8,12
