DateTime,AddedIPs,RemovedIPs
1593441181,9,8
1593444782,12,16
1593448381,18,16
1593451981,19,19
1593455581,11,8
1593459181,20,21
1593462781,21,22
1593466382,21,19
1593469981,12,11
1593473582,7,8
1593477181,9,7
1593480781,16,17
1593484381,12,12
1593487982,12,12
1593491581,17,17
1593495182,17,19
1593498781,14,13
1593502385,19,18
1593505982,16,19
1593509581,19,19
1593513181,15,16
1593516781,23,21
1593520382,16,16
1593523982,17,21
1593527582,20,19
1593531181,16,16
1593534781,26,23
1593538381,8,12
1593541981,22,18
1593545582,14,14
1593549181,12,11
1593552782,17,15
1593556381,16,18
1593559981,15,14
1593563581,14,15
1593567181,11,12
1593570782,18,17
1593574381,14,17
1593577981,15,18
1593581581,14,10
1593585182,11,10
1593588782,19,19
1593592381,12,14
1593595981,9,8
1593599581,23,23
1593603182,21,21
1593606782,12,10
1593610382,16,18
1593613981,12,15
1593617582,14,14
1593621181,22,17
1593624781,25,27
1593628381,11,10
1593631982,12,12
1593635581,21,19
1593639182,14,18
1593642781,15,11
1593646382,13,16
1593649981,14,14
1593653581,11,13
1593657181,12,13
1593660782,21,16
1593664382,11,13
1593667981,18,15
1593671582,16,18
1593675181,18,16
1593678782,19,20
1593682381,8,10
1593685981,12,10
1593689582,11,14
1593693182,13,14
1593696781,20,19
1593700382,11,10
1593703981,17,19
1593707581,17,15
1593711182,15,15
1593714782,16,16
1593718381,19,17
1593721981,20,24
1593725581,15,18
1593729182,11,8
1593732782,16,11
1593736382,11,13
1593739981,14,12
1593743581,17,20
1593747182,18,14
1593750781,13,16
1593754381,16,18
1593757981,17,16
1593761582,16,17
1593765182,16,17
1593768781,11,11
1593772382,11,11
1593775981,19,15
1593779581,23,23
1593783181,13,16
1593786782,18,17
1593790382,15,16
1593793982,18,18
1593797581,13,13
1593801181,17,18
1593804781,9,6
1593808382,11,9
1593811981,19,19
1593815581,17,19
1593819182,14,15
1593822781,22,22
1593826381,7,6
1593829982,18,17
1593833581,17,18
1593837181,15,16
1593840782,16,16
1593844381,9,10
1593847982,23,22
1593851581,18,19
1593855181,11,11
1593858781,20,18
1593862381,16,16
1593865982,9,9
1593869582,18,20
1593873181,17,17
1593876782,18,17
1593880381,20,19
1593883982,19,18
1593887581,22,20
1593891181,8,9
1593894781,12,15
1593898381,15,14
1593901982,10,10
1593905582,12,12
1593909182,15,11
1593912781,12,13
1593916381,17,17
1593919981,18,20
1593923581,13,14
1593927181,11,14
1593930781,19,12
1593934381,16,18
1593937981,14,16
1593941581,14,16
1593945182,18,17
1593948781,17,15
1593952381,13,16
1593955982,17,14
1593959582,14,18
1593963182,16,15
1593966781,16,16
1593970382,20,18
1593973981,15,15
1593977581,21,20
1593981182,16,20
1593984781,13,12
1593988381,13,13
1593991982,11,12
1593995581,14,14
1593999181,15,15
1594002782,15,16
1594006381,10,9
1594009981,12,13
1594013581,15,16
1594017181,16,11
1594020782,13,16
1594024382,12,13
1594027981,17,16
1594031581,17,17
1594035181,16,18
1594038782,10,10
1594042381,14,13
1594045982,17,15
1594049582,21,20
1594053181,21,19
1594056781,22,24
1594060381,21,22
1594063982,16,15
1594067582,11,11
1594071181,15,13
1594074782,12,13
1594078381,10,10
1594081982,16,16
1594085582,15,16
1594089181,12,14
1594092782,9,8
1594096381,16,14
1594099981,16,15
1594103582,15,21
1594107182,8,8
1594110781,17,18
1594114381,13,12
1594117981,15,13
1594121581,14,12
1594125181,19,19
1594128781,16,19
1594132382,21,17
1594135981,17,16
1594139582,18,22
1594143181,24,22
1594146781,8,8
1594150381,10,11
1594153981,17,20
1594157582,14,11
1594161181,12,10
1594164781,19,21
1594168381,10,10
1594171982,15,14
1594175581,13,14
1594179182,17,15
1594182781,18,18
1594186382,12,13
1594189982,21,20
1594193582,11,14
1594197182,16,18
1594200782,20,18
1594204381,16,17
1594207981,17,15
1594211581,12,10
1594215182,13,17
1594218781,16,12
1594222381,15,16
1594225982,16,14
1594229581,8,12
1594233182,16,13
1594236782,12,12
1594240381,15,17
1594243982,12,10
1594247581,18,18
1594251181,13,13
1594254781,22,22
1594258382,9,10
1594261982,6,5
1594265582,13,15
1594269182,19,17
1594272782,21,22
1594276381,23,23
1594279982,14,13
1594283581,16,18
1594287182,15,14
1594290782,14,18
1594294381,13,12
1594297981,11,11
1594301581,24,22
1594305181,18,18
1594308782,12,10
1594312381,14,16
1594315981,15,16
1594319582,11,11
1594323181,23,18
1594326781,18,20
1594330382,18,20
1594333981,11,12
1594337582,17,14
1594341181,14,13
1594344782,13,17
1594348381,12,11
1594351981,18,17
1594355581,16,15
1594359182,13,16
1594362781,15,15
1594366381,15,13
1594369981,14,18
1594373582,20,17
1594377181,13,13
1594380781,16,15
1594384382,18,17
1594387981,10,13
1594391581,16,14
1594395181,11,13
1594398781,14,11
1594402381,14,14
1594405982,13,13
1594409582,13,12
1594413181,11,13
1594416782,15,12
1594420382,14,17
1594423982,14,14
1594427581,11,10
1594431182,12,12
1594434781,16,15
1594438381,13,15
1594441981,18,18
1594445581,10,11
1594449181,15,15
1594452782,15,16
1594456382,20,19
1594459981,16,17
1594463581,11,10
1594467181,16,14
1594470782,13,14
1594474382,13,13
1594477981,14,16
1594481581,15,13
1594485181,18,17
1594488781,18,21
1594492382,11,11
1594495981,16,16
1594499581,11,8
1594503181,14,15
1594506782,12,15
1594510381,13,14
1594513981,14,11
1594517581,15,16
1594521181,17,15
1594524781,16,15
1594528381,14,16
1594531982,13,12
1594535581,21,19
1594539182,13,15
1594542781,18,19
1594546382,21,21
1594549982,16,19
1594553581,21,18
1594557181,12,12
1594560781,17,17
1594564381,14,15
1594567981,15,17
1594571581,18,15
1594575182,16,17
1594578781,16,11
1594582381,21,22
1594585982,15,18
1594589581,12,13
1594593181,19,16
1594596781,14,14
1594600381,14,16
1594603981,11,10
1594607582,11,11
1594611182,11,14
1594614781,19,13
1594618381,7,12
1594621981,14,14
1594625582,18,15
1594629181,17,15
1594632781,19,20
1594636381,12,12
1594639981,18,17
1594643581,16,19
1594647182,10,8
1594650781,21,19
1594654381,17,18
1594657981,18,20
1594661581,11,12
1594665181,12,13
1594668781,27,24
1594672382,16,16
1594675982,18,14
1594679581,16,19
1594683181,17,18
1594686781,18,20
1594690381,18,15
1594693981,21,22
1594697581,19,17
1594701181,15,16
1594704781,14,16
1594708381,17,14
1594712430,20,20
1594716030,20,22
1594719630,14,11
1594722782,15,17
1594726381,17,18
1594729981,14,14
1594733581,15,16
1594737181,16,16
1594740781,18,18
1594744382,16,16
1594747981,20,19
1594751581,18,18
1594755181,13,15
1594758781,12,13
1594762381,18,16
1594765981,17,17
1594769581,19,18
1594773181,12,13
1594776782,12,13
1594780381,13,13
1594783981,10,12
1594787581,16,13
1594791181,20,18
1594794782,18,15
1594798381,10,15
1594801982,18,17
1594805582,17,18
1594809181,15,13
1594812782,16,18
1594816381,15,14
1594819982,18,15
1594823582,20,23
1594827182,22,23
1594830782,24,20
1594834382,13,12
1594837981,21,25
1594841581,10,10
1594845182,12,14
1594848781,19,17
1594852381,13,15
1594855981,19,14
1594859581,6,10
1594863182,9,9
1594866782,15,17
1594870382,17,14
1594873981,17,16
1594877581,13,12
1594881182,16,19
1594884781,12,12
1594888382,17,17
1594891982,15,16
1594895582,12,17
1594899182,16,11
1594902781,12,14
1594906382,18,18
1594909982,17,15
1594913581,20,19
1594917181,12,12
1594920782,15,14
1594924382,14,14
1594927982,17,15
1594931582,14,15
1594935182,21,21
1594938781,18,16
1594942381,15,17
1594945981,15,14
1594949582,11,10
1594953181,15,17
1594956781,12,13
1594960382,14,15
1594963982,15,13
1594967581,6,6
1594971181,14,15
1594974781,15,16
1594978381,21,21
1594981981,17,17
1594985581,17,15
1594989181,12,12
1594992781,11,11
1594996381,18,19
1594999982,20,20
1595003582,16,15
1595007181,20,22
