DateTime,AddedIPs,RemovedIPs
1594250174,14,5
1594252383,5,4
1594254280,8,31
1594256171,9,32
1594258087,9,7
1594261002,14,9
1594262892,4,3
1594264840,14,2
1594266736,16,5
1594268654,8,2
1594270627,11,2
1594272509,9,9
1594274451,8,3
1594276417,9,3
1594278295,13,6
1594280171,11,3
1594282136,10,3
1594284015,11,4
1594285933,11,7
1594287879,17,5
1594289770,12,7
1594291710,14,4
1594293926,9,4
1594295796,9,4
1594297694,6,1
1594299661,5,5
1594301614,9,4
1594303699,8,14
1594305618,6,6
1594307806,2,14
1594309695,1,6
1594311621,8,9
1594313864,7,17
1594315717,8,14
1594318845,9,25
1594320727,8,3
1594322678,9,3
1594324567,9,4
1594326485,11,1
1594329375,16,13
1594331317,3,15
1594333207,3,9
1594335129,6,14
1594337077,7,5
1594338971,4,4
1594340912,12,8
1594343772,19,12
1594345688,13,9
1594347882,9,3
1594349774,11,7
1594351688,2,11
1594353662,2,16
1594355532,5,8
1594357704,2,6
1594359615,4,8
1594361570,1,4
1594363454,0,8
1594365614,3,12
1594367551,10,10
1594369497,4,11
1594371370,17,8
1594373315,7,9
1594376209,3,24
1594378088,3,17
1594380009,3,7
1594381989,3,11
1594383851,10,6
1594385768,9,5
1594387687,7,7
1594389665,7,9
1594391557,7,9
1594393732,4,5
1594395609,4,5
1594397530,9,5
1594399478,12,9
1594401376,9,7
1594403294,2,8
1594405238,2,12
1594407152,3,10
1594409052,2,8
1594410997,2,10
1594412886,2,12
1594415779,3,15
1594417689,3,5
1594419611,2,3
1594421528,4,3
1594423451,1,6
1594425398,3,4
1594427314,0,16
1594429293,4,16
1594431158,3,17
1594433119,2,20
1594434996,2,15
1594436894,6,14
1594438828,4,0
1594440764,10,4
1594442653,12,5
1594444578,12,5
1594446520,12,3
1594448411,16,3
1594450345,16,1
1594452282,14,3
1594454167,8,4
1594456329,9,23
1594458282,9,2
1594460198,9,6
1594462106,20,1
1594464014,9,3
1594465969,10,2
1594467855,13,5
1594469773,6,11
1594471726,8,6
1594473612,8,11
1594475533,7,7
1594477489,11,12
1594479373,6,2
1594481315,5,2
1594484419,2,16
1594486343,19,9
1594488289,1,4
1594490170,7,2
1594492086,5,2
1594494969,7,4
1594496916,8,3
1594498809,11,1
1594500738,7,1
1594502707,7,4
1594504646,7,2
1594506535,8,4
1594509367,8,4
1594511327,10,1
1594513210,5,2
1594515139,6,2
1594517083,4,5
1594518969,3,4
1594520934,3,3
1594523780,1,6
1594525718,4,2
1594527609,6,10
1594529529,5,8
1594531455,0,8
1594533369,0,14
1594535317,1,14
1594538468,56,20
1594540334,1,7
1594542259,31,7
1594544214,7,8
1594546094,65,6
1594548101,11,23
1594549963,13,10
1594551859,27,11
1594553773,8,8
1594555729,13,8
1594557613,10,9
1594559534,7,8
1594561493,9,4
1594563399,5,9
1594565547,14,5
1594567488,9,3
1594569377,9,3
1594571330,6,17
1594573492,6,3
1594575405,7,2
1594577294,2,5
1594579215,2,9
1594581159,2,5
1594583050,5,6
1594584971,10,8
1594586919,8,10
1594588810,1,5
1594590739,3,5
1594592690,6,5
1594594567,5,6
1594596844,4,14
1594598682,12,4
1594600571,8,11
1594602604,5,4
1594604413,3,5
1594606334,7,4
1594608300,11,1
1594610175,7,2
1594612090,4,5
1594614040,6,8
1594615933,4,7
1594617872,12,1
1594619813,14,0
1594621695,10,0
1594623778,5,29
1594625797,9,30
1594627710,8,0
1594629612,7,29
1594631560,10,10
1594633452,3,61
1594635371,8,11
1594637316,12,34
1594639208,5,12
1594641133,3,10
1594643079,3,14
1594644969,6,9
1594646888,17,9
1594649771,16,11
1594651721,11,9
1594653612,8,10
1594655556,14,8
1594657453,15,5
1594659370,9,3
1594661285,9,5
1594664180,28,8
1594666093,5,2
1594668039,6,2
1594669929,6,9
1594671850,5,8
1594674998,7,7
1594676899,10,4
1594678814,0,5
1594680763,2,9
1594682679,23,6
1594684574,11,9
1594686515,0,6
1594689372,2,13
1594691291,1,6
1594693215,4,9
1594695166,5,9
1594697362,23,6
1594699382,6,8
1594701259,18,3
1594703090,12,7
1594704980,10,22
1594706928,13,11
1594708853,14,9
1594710741,7,7
1594712580,5,8
1594714579,3,10
1594716520,5,7
1594718413,16,9
1594720332,45,3
1594722510,11,13
1594724379,18,10
1594726341,14,9
1594728563,15,2
1594730411,7,7
1594732507,19,10
1594734621,12,9
1594736682,25,6
1594738567,11,7
1594740513,13,10
1594743621,29,22
1594745533,7,7
1594747484,19,7
1594749371,9,17
1594751318,32,10
1594753396,23,4
1594755401,20,9
1594757290,9,8
1594759215,7,4
1594761168,12,5
1594763051,5,5
1594765002,3,3
1594766911,15,1
1594768931,7,21
1594771060,8,19
1594772894,16,0
1594774969,6,1
1594776998,6,1
1594778895,6,2
1594780813,8,5
1594782758,1,24
1594784675,10,4
1594786578,9,4
1594788523,8,21
1594790410,6,10
1594792334,7,15
1594794146,9,8
1594795969,14,7
1594797905,11,8
1594799809,18,8
1594801700,10,4
1594803842,4,8
1594805803,9,33
1594807691,12,15
1594809608,2,10
1594811565,11,20
1594813450,9,7
1594815377,5,17
1594817382,16,10
1594819261,13,13
1594821130,12,6
1594823082,16,20
1594826181,23,21
1594828095,10,9
1594830020,9,19
1594831967,8,9
1594833886,15,19
1594835877,14,24
1594837694,14,19
1594839795,13,25
1594841806,12,22
1594843728,13,8
1594845617,11,5
1594847593,9,10
1594849452,9,5
1594851374,11,2
1594853322,7,9
1594855213,32,6
1594857141,10,8
1594859060,12,21
1594860970,8,5
1594862919,6,4
1594864891,4,4
1594866758,4,7
1594868658,10,6
1594870571,9,5
1594872517,5,5
1594874414,11,10
1594876350,7,7
1594878280,6,8
1594880189,10,7
1594882093,5,18
1594884283,12,13
1594886194,3,21
1594888091,5,12
1594890123,9,8
1594891934,6,10
1594893882,9,11
1594895798,6,6
1594897723,5,10
1594899618,14,8
1594901804,22,13
1594903697,5,12
1594905941,19,11
1594907804,20,12
1594910078,5,18
1594912294,8,13
1594914223,6,7
1594916446,5,10
1594918329,4,7
1594920251,11,11
1594922199,4,16
1594924086,2,15
1594926091,6,7
1594927955,5,16
1594930043,12,12
1594932050,12,13
1594934236,8,11
1594936121,9,8
1594938010,4,11
1594939929,3,18
1594941737,3,26
1594943540,6,10
1594945455,1,14
1594947396,4,8
1594949336,4,6
1594951331,5,5
1594953166,1,7
1594955328,4,16
1594957213,5,9
1594959400,2,6
1594961290,4,11
1594963240,13,9
1594965133,8,12
1594967090,4,8
1594969022,10,6
1594970891,9,12
1594972959,8,5
1594974887,11,6
1594976922,12,9
1594978815,9,8
1594980738,6,12
1594982665,5,6
1594984573,14,8
1594986520,9,12
1594988414,8,20
1594990336,5,8
1594992286,14,14
1594994185,6,22
1594996091,13,5
1594998179,2,6
1595000200,10,6
1595002093,9,7
1595004012,12,4
1595005958,8,6
1595007852,10,9
1595009771,14,6
1595011962,11,7
1595013901,14,5
1595015770,12,5
1595017720,8,13
1595019650,10,9
1595022524,2,13
1595024416,10,5
1595026332,11,2
1595028334,15,5
1595030176,8,5
1595032348,5,3
1595034350,5,3
1595036202,6,4
1595038134,8,5
1595040022,5,1
1595041944,4,4
1595043885,10,8
1595045772,6,3
1595047692,11,6
1595049644,6,14
1595051533,8,7
1595053490,7,4
1595055392,8,11
1595057321,9,6
1595059394,7,6
1595061397,24,7
1595063291,9,13
1595065213,2,6
1595067158,16,7
1595069050,4,4
1595071215,8,17
1595073133,12,11
1595075087,8,5
1595076973,11,5
1595078894,9,17
1595080876,8,12
1595082729,4,9
1595084652,9,3
1595086597,31,10
1595088492,25,8
1595090411,4,11
1595092361,9,7
1595094250,31,9
1595096227,9,9
1595098175,8,10
1595100014,5,12
1595101962,20,7
1595103856,10,8
1595105769,10,15
1595107731,13,2
1595110600,18,11
1595112495,10,10
1595114441,10,12
1595116361,11,7
1595118259,9,5
1595120175,8,5
1595122118,7,6
1595125002,15,10
1595126894,7,2
1595128851,4,3
1595130748,7,10
1595132656,7,4
1595134622,7,7
1595136491,7,7
1595138554,1,8
1595140397,3,7
1595142274,8,3
1595144203,5,8
1595146111,8,10
1595148014,10,25
1595149960,11,6
1595151851,13,7
1595153770,3,8
1595155722,7,4
1595157612,4,6
1595159530,5,12
1595161483,5,11
1595163400,9,11
1595165293,16,13
1595167461,5,7
1595169403,8,4
1595171361,6,7
1595173239,13,39
1595175135,5,12
1595177083,13,9
1595179216,13,11
1595181161,7,24
1595183089,9,10
1595184973,14,9
1595186890,16,13
1595188953,6,13
1595191001,21,9
1595192927,8,10
1595194808,15,12
1595196761,13,10
1595198648,8,7
1595200566,5,8
1595202527,7,10
1595204426,4,10
1595206331,4,10
1595208281,3,7
1595210166,2,11
1595212093,8,8
1595214150,4,6
1595216199,5,10
1595218094,6,5
1595220035,15,12
1595221961,11,3
1595223850,8,3
1595225768,6,1
1595227690,8,6
1595229610,4,7
1595231561,5,9
1595233455,6,6
1595236675,9,17
1595238488,17,14
1595240431,7,2
